ano;mes ;n_indice
2001;1;0,265003044
2001;2;0,266222352
2001;3;0,267233486
2001;4;0,268783056
2001;5;0,269884972
2001;6;0,271288976
2001;7;0,274896813
2001;8;0,276820471
2001;9;0,277595255
2001;10;0,279899262
2001;11;0,281887094
2001;12;0,283719969
2002;1;0,285195974
2002;2;0,286222759
2002;3;0,287939808
2002;4;0,290243815
2002;5;0,290852686
2002;6;0,292073559
2002;7;0,295549917
2002;8;0,297470445
2002;9;0,299611668
2002;10;0,303537245
2002;11;0,312704751
2002;12;0,319270857
2003;1;0,326455226
2003;2;0,331581328
2003;3;0,335660297
2003;4;0,338915959
2003;5;0,340983617
2003;6;0,340471789
2003;7;0,341152661
2003;8;0,34231249
2003;9;0,344982759
2003;10;0,345982936
2003;11;0,347159983
2003;12;0,348964684
2004;1;0,35161617
2004;2;0,353760524
2004;3;0,35542279
2004;4;0,356737576
2004;5;0,358556364
2004;6;0,361101415
2004;7;0,364386816
2004;8;0,366900563
2004;9;0,368112045
2004;10;0,36973205
2004;11;0,372283362
2004;12;0,375484241
2005;1;0,377661464
2005;2;0,379890341
2005;3;0,382206869
2005;4;0,385531401
2005;5;0,387420624
2005;6;0,387342363
2005;7;0,388311235
2005;8;0,388971759
2005;9;0,390333502
2005;10;0,393260467
2005;11;0,395423604
2005;12;0,396846391
2006;1;0,399187963
2006;2;0,400825185
2006;3;0,402548494
2006;4;0,403393714
2006;5;0,403797542
2006;6;0,402949191
2006;7;0,403714585
2006;8;0,403916499
2006;9;0,404764849
2006;10;0,406099983
2006;11;0,407358422
2006;12;0,409313384
2007;1;0,411114955
2007;2;0,412924351
2007;3;0,414452008
2007;4;0,415488185
2007;5;0,416651145
2007;6;0,417817235
2007;7;0,418820543
2007;8;0,420789592
2007;9;0,421547159
2007;10;0,422811859
2007;11;0,424417777
2007;12;0,427559177
2008;1;0,42986788
2008;2;0,431974668
2008;3;0,434048588
2008;4;0,436435551
2008;5;0,439883735
2008;6;0,443139397
2008;7;0,44548723
2008;8;0,446734712
2008;9;0,447896107
2008;10;0,449912113
2008;11;0,451532118
2008;12;0,452796817
2009;1;0,454969345
2009;2;0,457472135
2009;3;0,458386225
2009;4;0,460586927
2009;5;0,462751629
2009;6;0,464417025
2009;7;0,465531463
2009;8;0,466229552
2009;9;0,467348686
2009;10;0,468657212
2009;11;0,470579304
2009;12;0,472319831
2010;1;0,475861929
2010;2;0,47957307
2010;3;0,482066469
2010;4;0,484814999
2010;5;0,486899874
2010;6;0,486899874
2010;7;0,486948396
2010;8;0,487142484
2010;9;0,489333795
2010;10;0,49300424
2010;11;0,497095731
2010;12;0,50022774
2011;1;0,504380274
2011;2;0,508415416
2011;3;0,512431776
2011;4;0,516377701
2011;5;0,51880536
2011;6;0,519583275
2011;7;0,520414408
2011;8;0,522339631
2011;9;0,525108509
2011;10;0,527367124
2011;11;0,530109393
2011;12;0,532759314
2012;1;0,535742627
2012;2;0,538153069
2012;3;0,53928316
2012;4;0,542734474
2012;5;0,544687871
2012;6;0,545123003
2012;7;0,547467706
2012;8;0,549712234
2012;9;0,552845808
2012;10;0,556107731
2012;11;0,559444784
2012;12;0,563864971
2013;1;0,568714029
2013;2;0,572126213
2013;3;0,574815265
2013;4;0,577977013
2013;5;0,580115106
2013;6;0,58162398
2013;7;0,58179772
2013;8;0,583193898
2013;9;0,585234948
2013;10;0,588570436
2013;11;0,591749402
2013;12;0,597193244
2014;1;0,60047708
2014;2;0,604620222
2014;3;0,610183021
2014;4;0,614271381
2014;5;0,617096607
2014;6;0,619564962
2014;7;0,619627571
2014;8;0,621177141
2014;9;0,624717673
2014;10;0,627340985
2014;11;0,630540299
2014;12;0,635458227
2015;1;0,643337554
2015;2;0,651185577
2015;3;0,659781777
2015;4;0,664466486
2015;5;0,669382849
2015;6;0,674671734
2015;7;0,678854007
2015;8;0,680347229
2015;9;0,684020805
2015;10;0,689628995
2015;11;0,696594233
2015;12;0,703280862
2016;1;0,712212019
2016;2;0,718621603
2016;3;0,721711351
2016;4;0,726114321
2016;5;0,731777294
2016;6;0,734337997
2016;7;0,738157139
2016;8;0,741404975
2016;9;0,741998194
2016;10;0,743928112
2016;11;0,745267943
2016;12;0,74750308
2017;1;0,750343958
2017;2;0,752820139
2017;3;0,754701536
2017;4;0,755758061
2017;5;0,758101198
2017;6;0,756357541
2017;7;0,758173198
2017;8;0,759613202
2017;9;0,760827815
2017;10;0,764023998
2017;11;0,766163656
2017;12;0,769535145
2018;1;0,771767151
2018;2;0,774237072
2018;3;0,774933595
2018;4;0,776638122
2018;5;0,779745088
2018;6;0,789569987
2018;7;0,792176081
2018;8;0,791463905
2018;9;0,795262699
2018;10;0,798840797
2018;11;0,797162879
2018;12;0,798358708
2019;1;0,800913151
2019;2;0,804356639
2019;3;0,810389005
2019;4;0,815007975
2019;5;0,81606763
2019;6;0,816149022
2019;7;0,817700157
2019;8;0,818600159
2019;9;0,818273028
2019;10;0,819091639
2019;11;0,823269217
2019;12;0,832737245
2020;1;0,834485598
2020;2;0,836572039
2020;3;0,837157432
2020;4;0,834562293
2020;5;0,831391154
2020;6;0,833552725
2020;7;0,836553256
2020;8;0,838561436
2020;9;0,843928582
2020;10;0,851186517
2020;11;0,858762191
2020;12;0,870355791
2021;1;0,872531449
2021;2;0,880035124
2021;3;0,88821967
2021;4;0,890972895
2021;5;0,898368569
2021;6;0,903129974
2021;7;0,911799739
2021;8;0,919732284
2021;9;0,930400838
2021;10;0,942030437
2021;11;0,950980377
2021;12;0,957922136
2022;1;0,963095195
2022;2;0,97282305
2022;3;0,988583271
2022;4;0,999062432
2022;5;1,00375809806742
2022;6;1,01048385708270
2022;7;1,00361253241966
2022;8;1
